Ciudad,Latitud,Longitud,GHI_SG,GHI_ES,GHI_MN
Arica,-18.476157, -70.284228,2144,2063,1822
Iquique,-20.213596, -70.151759,2080,2054,1880
PozoAlmonte,-20.253541, -69.77822,2556,2500,2202
Antofagasta,-23.651335, -70.383306,2221,2134,1990
Calama,-22.45852, -68.900135,2673,2603,2409
DiegoAlmagro,-26.245556,-69.967778,2495,2475,2200
Copiapo,-27.367299, -70.328311,2278,2267,1955
Chanaral,-29.030197, -71.435711,1690,1680,1738
Vicuna, -30.030907, -70.745316,2318,2264,1929
Salamanca,-31.779333, -70.995662,2186,2128,1763
Calera,-32.766078, -71.189876,1917,1938,1498
Santiago,-33.455873, -70.662172,2043,1854,1741
Smurfit,-33.455873, -70.662172,2043,1854,1741
SanVicente,-34.420029, -71.104697,1901,1909,1535
Curico,-34.971514, -71.234426,1841,1862,1508